Rank,ID,Category,Skills_Total,Skills_Matched,Skills_Missing,Match_Score,Matched_Skills,Missing_Skills,Category_Level,Weighted_Score,TFIDF_Score,Combined_Score
602,22323967,Poor Match,8,4,22,15.4,"['adp', 'microsoft office', 'benefits', 'recruitment']","['performance management', 'ada', 'employment law', 'kronos', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel']",Poor Match (Reject),20.4,7.6,13.1
603,22492537,Poor Match,4,4,22,15.4,"['payroll', 'adp', 'excel', 'microsoft office']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'onboarding', 'word', 'hris', 'conflict resolution']",Poor Match (Reject),20.4,11.7,14.3
604,21807211,Poor Match,9,4,22,15.4,"['compliance', 'word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),15.4,3.2,11.7
605,25543217,Poor Match,8,4,22,15.4,"['payroll', 'compliance', 'microsoft office', 'benefits']","['performance management', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),15.4,8.3,13.3
606,17714174,Poor Match,11,4,22,15.4,"['compliance', 'excel', 'orientation', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'word', 'hris', 'recruitment']",Poor Match (Reject),15.4,4.4,12.1
607,71499299,Poor Match,7,4,22,15.4,"['payroll', 'compliance', 'word', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'excel', 'recruitment']",Poor Match (Reject),15.4,4.1,12.0
608,15233524,Poor Match,10,4,22,15.4,"['word', 'compensation', 'excel', 'workers compensation']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),15.4,4.4,12.1
609,13888506,Poor Match,10,4,22,15.4,"['word', 'microsoft office', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),15.4,4.0,12.0
610,14287992,Poor Match,7,4,22,15.4,"['word', 'microsoft office', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),15.4,5.1,12.3
611,17421910,Poor Match,10,4,22,15.4,"['compliance', 'word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),15.4,6.1,12.6
612,27689009,Poor Match,6,4,22,15.4,"['payroll', 'compensation', 'microsoft office', 'workers compensation']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'orientation', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),15.4,6.2,12.6
613,59422148,Poor Match,10,4,22,15.4,"['employee relations', 'recruitment', 'performance management', 'compliance']","['benefits', 'ada', 'employment law', 'kronos', 'adp', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel']",Poor Match (Reject),15.4,13.1,14.7
614,26530696,Poor Match,7,4,22,15.4,"['word', 'excel', 'conflict resolution', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),15.4,5.5,12.4
615,70750649,Poor Match,6,4,22,15.4,"['word', 'microsoft office', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),15.4,4.6,12.2
616,31761591,Poor Match,9,4,22,15.4,"['word', 'microsoft office', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),15.4,9.0,13.5
617,31362807,Poor Match,7,4,22,15.4,"['payroll', 'word', 'benefits', 'excel']","['performance management', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),15.4,5.7,12.5
618,54308684,Poor Match,7,4,22,15.4,"['compliance', 'word', 'microsoft office', 'excel']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),15.4,13.4,14.8
619,21570485,Poor Match,11,4,22,15.4,"['compliance', 'word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),15.4,4.7,12.2
620,37473139,Poor Match,8,4,22,15.4,"['word', 'microsoft office', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),15.4,3.8,11.9
621,33627938,Poor Match,9,3,23,11.5,"['compliance', 'microsoft office', 'orientation']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),11.5,13.8,12.2
622,17694572,Poor Match,4,3,23,11.5,"['excel', 'word', 'powerpoint']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'payroll', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,4.6,9.4
623,22442947,Poor Match,6,3,23,11.5,"['word', 'excel', 'conflict resolution']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),11.5,6.0,9.8
624,19717385,Poor Match,9,3,23,11.5,"['word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),11.5,6.9,10.1
625,32977530,Poor Match,8,3,23,11.5,"['onboarding', 'excel', 'compliance']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'recruitment']",Poor Match (Reject),11.5,7.2,10.2
626,19284293,Poor Match,4,3,23,11.5,"['compliance', 'excel', 'word']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,7.1,10.2
627,26829350,Poor Match,8,3,23,11.5,"['word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),11.5,3.9,9.2
628,29968330,Poor Match,4,3,23,11.5,"['excel', 'word', 'powerpoint']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'payroll', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,8.8,10.7
629,27607632,Poor Match,7,3,23,11.5,"['adp', 'word', 'excel']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),16.5,7.6,10.3
630,40987524,Poor Match,12,3,23,11.5,"['payroll', 'orientation', 'conflict resolution']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'onboarding', 'microsoft office', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),11.5,6.1,9.9
631,15765660,Poor Match,8,3,23,11.5,"['word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),11.5,5.2,9.6
632,22232367,Poor Match,8,3,23,11.5,"['compliance', 'word', 'excel']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),11.5,8.2,10.5
633,13195436,Poor Match,5,3,23,11.5,"['compliance', 'word', 'excel']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,2.3,8.7
634,67582956,Poor Match,5,3,23,11.5,"['word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'payroll', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,7.2,10.2
635,15618327,Poor Match,8,3,23,11.5,"['word', 'microsoft office', 'excel']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),11.5,10.0,11.0
636,19818707,Poor Match,8,3,23,11.5,"['compliance', 'word', 'excel']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),11.5,10.7,11.3
637,23985183,Poor Match,7,3,23,11.5,"['talent acquisition', 'microsoft office', 'compliance']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),11.5,6.7,10.1
638,22182279,Poor Match,5,3,23,11.5,"['word', 'microsoft office', 'excel']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,3.0,9.0
639,26046064,Poor Match,3,3,23,11.5,"['excel', 'word', 'powerpoint']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'payroll', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,6.3,9.9
640,11155153,Poor Match,6,3,23,11.5,"['compliance', 'word', 'excel']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),11.5,8.7,10.7
641,30968749,Poor Match,5,3,23,11.5,"['compliance', 'word', 'excel']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,3.1,9.0
642,25797445,Poor Match,5,3,23,11.5,"['word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'payroll', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,6.6,10.0
643,12546838,Poor Match,9,3,23,11.5,"['word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),11.5,3.4,9.1
644,29908929,Poor Match,7,3,23,11.5,"['microsoft office', 'benefits', 'powerpoint']","['performance management', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),11.5,7.5,10.3
645,27040860,Poor Match,7,3,23,11.5,"['word', 'microsoft office', 'excel']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),11.5,5.2,9.6
646,30097175,Poor Match,4,3,23,11.5,"['excel', 'word', 'powerpoint']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'payroll', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,5.6,9.7
647,21298336,Poor Match,4,3,23,11.5,"['excel', 'word', 'powerpoint']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'payroll', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,5.2,9.6
648,31684925,Poor Match,7,3,23,11.5,"['word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),11.5,6.1,9.9
649,55595908,Poor Match,6,3,23,11.5,"['word', 'microsoft office', 'excel']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),11.5,12.4,11.8
650,18311419,Poor Match,10,3,23,11.5,"['compliance', 'orientation', 'recruitment']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel']",Poor Match (Reject),11.5,11.1,11.4
651,28724469,Poor Match,4,3,23,11.5,"['payroll', 'compliance', 'microsoft office']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),11.5,4.6,9.4
652,18636651,Poor Match,8,3,23,11.5,"['compliance', 'performance management', 'recruitment']","['benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel']",Poor Match (Reject),11.5,7.3,10.2
653,24967652,Poor Match,7,3,23,11.5,"['payroll', 'compliance', 'microsoft office']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),11.5,4.8,9.5
654,71767359,Poor Match,6,3,23,11.5,"['word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),11.5,9.9,11.0
655,13386301,Poor Match,9,3,23,11.5,"['word', 'excel', 'recruitment']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris']",Poor Match (Reject),11.5,4.3,9.3
656,27091280,Poor Match,6,3,23,11.5,"['payroll', 'adp', 'recruitment']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel']",Poor Match (Reject),16.5,6.6,10.0
657,50324968,Poor Match,3,3,23,11.5,"['excel', 'word', 'powerpoint']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'payroll', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,0.0,8.0
658,20748929,Poor Match,8,3,23,11.5,"['word', 'microsoft office', 'excel']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'recruitment']",Poor Match (Reject),11.5,7.1,10.2
659,14070138,Poor Match,8,3,23,11.5,"['onboarding', 'recruitment', 'compliance']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel']",Poor Match (Reject),11.5,6.5,10.0
660,16519708,Poor Match,7,3,23,11.5,"['compensation', 'microsoft office', 'recruitment']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel']",Poor Match (Reject),11.5,2.8,8.9
661,28337049,Poor Match,7,3,23,11.5,"['compliance', 'word', 'microsoft office']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'hris', 'excel', 'recruitment']",Poor Match (Reject),11.5,9.0,10.7
662,17392859,Poor Match,7,3,23,11.5,"['word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),11.5,5.3,9.6
663,15792052,Poor Match,4,3,23,11.5,"['payroll', 'compliance', 'microsoft office']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),11.5,6.3,9.9
664,19124258,Poor Match,6,3,23,11.5,"['word', 'excel', 'powerpoint']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'hris', 'recruitment']",Poor Match (Reject),11.5,5.4,9.7
665,12488356,Poor Match,10,3,23,11.5,"['performance management', 'benefits', 'compensation']","['ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),11.5,2.8,8.9
666,21847415,Poor Match,6,3,23,11.5,"['compliance', 'excel', 'orientation']","['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'recruitment']",Poor Match (Reject),11.5,5.9,9.8
667,30288581,Poor Match,5,3,23,11.5,"['word', 'microsoft office', 'excel']","['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'hris', 'conflict resolution']",Poor Match (Reject),11.5,7.6,10.3
